Cluster,Lead Investors Include,Continent
2,State Bank of India,Asia
0,Wellington Management,North America
0,Fidelity,North America
0,Multiple Investors,North America
0,GS Growth,North America
0,Altimeter Capital,North America
2,Multiple Investors,Asia
1,IVP,Europe
2,Alibaba Group,Asia
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,Kleiner Perkins,North America
1,Mérieux Equity Partners,Europe
0,Eurazeo,North America
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,ICONIQ Growth,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Guangzhou Automobile Group,Asia
2,Peak XV Partners,Asia
0,Optum Ventures,North America
0,Insight Partners,North America
0,Hexagon,North America
0,Multiple Investors,North America
2,Accel,Asia
2,Industrial Bank,Asia
0,Multiple Investors,South America
0,Bain Capital Ventures,North America
1,Multiple Investors,Europe
1,Eurazeo,Europe
0,Zeev Ventures,North America
2,Zeus Entertainment,Asia
0,WestCap,North America
0,Multiple Investors,North America
1,Index Ventures,Europe
2,Multiple Investors,Asia
0,Adams Street Partners,North America
2,D2 Investments,Asia
0,Multiple Investors,North America
2,57 Stars,Asia
0,Caisse de Depot et Placement du Quebec,North America
2,Multiple Investors,Asia
2,TPG,Asia
2,Affinity Partners,Asia
2,Multiple Investors,Asia
1,Coatue,Europe
0,D1 Capital Partners,North America
2,Trustbridge Partners,Asia
2,Insight Partners,Asia
0,Multiple Investors,North America
0,Advent International,South America
0,Sequoia Capital China,North America
1,Multiple Investors,Europe
2,G42 Expansion Fund,Asia
0,SoftBank Vision Fund,North America
2,Multiple Investors,Asia
0,Harmonic Growth Partners,North America
0,Multiple Investors,North America
0,Siemens Financial Services,North America
0,Multiple Investors,North America
2,H Capital Advance,Asia
0,Sixth Street,North America
0,TCV,Oceania
0,Lightspeed Venture Partners,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
1,Multiple Investors,Europe
0,Multiple Investors,North America
0,Brookfield Growth,North America
1,Multiple Investors,Europe
0,T. Rowe Price,North America
0,Nordic Capital,North America
0,BDT & MSD Partners,North America
2,Multiple Investors,Asia
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,SoftBank Vision Fund,North America
2,Multiple Investors,Asia
2,Wanda E-Commerce,Asia
0,SoftBank Vision Fund,North America
2,China Minsheng Financial Holdings,Asia
2,Multiple Investors,Asia
0,TPG Growth,North America
0,Trish Costello,North America
0,New Enterprise Associates,North America
0,Multiple Investors,North America
0,Owl Rock Capital,North America
1,Goldman Sachs Asset Management,Europe
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,Milano Investment Partners SGR,North America
0,SoftBank Vision Fund,North America
0,Temasek Holdings,North America
0,Multiple Investors,South America
1,Atomico,Europe
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,Fidelity Management and Research Company,North America
1,Conexo Ventures,Europe
2,DST Global,Asia
1,Multiple Investors,Europe
0,Hamilton Lane,North America
0,Goldman Sachs,North America
0,Thoma Bravo,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
2,Alkeon Capital,Asia
0,AE Industrial Partners,North America
2,PremjiInvest,Asia
2,CCB International,Asia
2,Multiple Investors,Asia
0,Andreessen Horowitz,North America
0,Vista Equity Partners,North America
2,Buer Capital,Asia
0,Paradigm,North America
2,Multiple Investors,Asia
0,BlackRock,North America
0,Shopify,North America
1,DoorDash,Europe
1,Tencent,Europe
1,Canyon Partners,Europe
0,SoftBank Vision Fund,North America
0,Tiger Global Management,North America
0,Meritech Capital Partners,North America
0,Andreessen Horowitz,North America
0,B Capital,North America
0,WestCap,North America
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,Kora,North America
0,Tiger Global Management,North America
1,Disruptive,Europe
0,Multiple Investors,North America
0,Mitsui & Co,North America
2,MacRitchie Investments,Asia
0,TPG Capital Asia,North America
0,Roche,North America
0,Accomplice,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
0,Permira,North America
2,Gopher Asset Management,Asia
0,Healthcare of Ontario Pension Plan (HOOPP),North America
2,Guizhou Innovation Empowerment Big Data Investment Fund,Asia
0,Multiple Investors,North America
2,Mubadala,Asia
2,Multiple Investors,Asia
2,CCB International,Asia
2,Malabar Investment Advisors,Asia
0,Ribbit Capital,North America
2,Jintuo Capital,Asia
2,CPE,Asia
1,Insight Partners,Europe
0,ICONIQ Growth,North America
0,Draper Dragon,North America
0,Flagship Pioneering,North America
0,Silver Lake,North America
0,Multiple Investors,North America
1,Pelham Capital,Europe
1,Blue Pool Capital,Europe
2,Reliance Jio,Asia
0,Sequoia Capital,North America
0,Insight Partners,North America
2,PremjiInvest,Asia
0,Lone Pine Capital,North America
2,Multiple Investors,Asia
0,Insight Partners,Oceania
0,Park West Asset Management,North America
1,Permira,Europe
2,Multiple Investors,Asia
0,Tiger Global Management,North America
2,Multiple Investors,Asia
0,Franklin Templeton Investments,North America
2,Multiple Investors,Asia
1,Prosus & Naspers,Europe
1,SoftBank Vision Fund,Europe
2,Goldman Sachs,Asia
0,Vista Credit Partners,North America
2,Hanwha Asset Management,Asia
0,Multiple Investors,North America
0,GIC,North America
1,Ontario Teachers' Pension Plan,Europe
0,Andreessen Horowitz,North America
0,Multiple Investors,North America
0,Earth Venture Capital,North America
1,Energy Impact Partners,Europe
2,ICONIQ Growth,Asia
0,301,North America
0,BlackRock Private Equity Partners,North America
2,SAIC Venture Capital,Asia
0,General Atlantic,North America
0,Wellington Management,North America
2,Multiple Investors,Asia
0,Tiger Global Management,North America
0,Multiple Investors,North America
1,General Atlantic,Europe
1,Multiple Investors,Europe
0,Commonwealth Bank of Australia,North America
0,Multiple Investors,South America
2,SK Telecom,Asia
2,Capital Today,Asia
2,Warburg Pincus,Asia
2,Multiple Investors,Asia
0,Multiple Investors,North America
2,Bank of China Group Investment,Asia
0,Anthemis Group,North America
0,Norwest Venture Partners,North America
0,STORY3 Capital Partners,North America
2,Greenoaks,Asia
2,Multiple Investors,Asia
0,Atlassian Ventures,North America
0,Spark Capital,North America
0,Hildred Capital Partners,North America
0,Bain Capital Life Sciences,North America
0,Sam Altman,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
1,General Catalyst,Europe
0,Multiple Investors,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
0,Multiple Investors,North America
0,Multiple Investors,North America
2,Jump Crypto,Asia
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,Glynn Capital Management,North America
2,Multiple Investors,Asia
1,Ginko Ventures,Europe
0,Zeev Ventures,North America
0,Tiger Global Management,North America
0,Baillie Gifford,North America
1,Multiple Investors,Europe
0,Capital One Ventures,North America
2,Chery Automobile,Asia
0,Telescope Partners,North America
1,TCV,Europe
0,ICONIQ Growth,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,ZJ Innopark (Zhangjiang Hi-Tech Park),Asia
2,Crescent Group (Crescent Point),Asia
2,Hongtai Fund,Asia
0,Salesforce Ventures,North America
2,China Oceanwide,Asia
2,Jinan Industrial Development Group,Asia
2,SDIC Venture Capital,Asia
2,China Minsheng Investment Group,Asia
0,BlackRock,North America
0,Emerging Technology Partners,North America
2,ByteDance,Asia
2,Multiple Investors,Asia
1,Insight Partners,Europe
0,Koch Disruptive Technologies,North America
0,Bank of America,North America
2,China Bridge Capital,Asia
0,Silicon Valley Bank,North America
0,TA Associates,North America
0,Tiger Global Management,North America
0,Viking Global Investors,North America
1,Apax Partners,Europe
0,L Catterton,North America
0,Multiple Investors,South America
0,Thoma Bravo,North America
0,Astera Institute,North America
0,Koch Disruptive Technologies,North America
0,Databricks Ventures,North America
0,Temasek Holdings,Oceania
0,Qatar Investment Authority,North America
0,Thoma Bravo,North America
0,Mirae Asset,North America
1,Multiple Investors,Europe
0,Multiple Investors,North America
0,The Carlyle Group,North America
0,Multiple Investors,North America
2,FMO,Asia
0,Base10 Partners,North America
0,Insight Partners,North America
1,Qatar Investment Authority,Europe
2,Multiple Investors,Asia
0,Multiple Investors,North America
1,One Equity Partners,Europe
2,Mars Growth Capital,Asia
0,Jump Crypto,North America
2,Lightbox,Asia
2,Multiple Investors,Asia
0,Mubadala Capital Ventures,North America
0,Hermitage Capital,North America
2,Qatar Investment Authority,Asia
2,NHS England,Asia
0,Hg,North America
2,Multiple Investors,Asia
0,Tribe Capital,North America
1,Swedbank Robur,Europe
0,Janus Henderson Investors,North America
0,Kleiner Perkins,North America
0,Broadway Angels,North America
0,Visa,Africa
0,Multiple Investors,North America
0,Spark Capital,North America
0,Silver Lake Waterman,North America
0,Schonfeld Strategic Advisors,North America
0,Advent International,North America
0,Franklin Templeton Investments,North America
0,Prysm Capital,North America
0,Blackstone Group,North America
0,Goldman Sachs,North America
0,Viking Global Investors,North America
0,Left Lane Capital,North America
1,Multiple Investors,Europe
0,IMM Investment,North America
2,Tencent,Asia
0,Insight Partners,North America
2,Mubadala,Asia
2,Gojek,Asia
0,Tencent,North America
0,SoftBank Vision Fund,North America
0,BMW i Ventures,North America
2,China Renaissance,Asia
2,Linkface,Asia
2,Sequoia Capital China,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
1,Multiple Investors,Europe
2,CSOT,Asia
2,G42,Asia
2,Multiple Investors,Asia
2,RRJ Capital,Asia
0,Multiple Investors,Oceania
0,Sapphire Ventures,North America
0,Tribe Capital,North America
2,Multiple Investors,Asia
2,Goldman Sachs,Asia
2,Guangzhou Automobile Group,Asia
0,Multiple Investors,North America
0,Tiger Global Management,North America
2,Hy,Asia
2,Anchor Equity Partners,Asia
2,GS Retail,Asia
0,Serena Williams,North America
2,DST Global,Asia
1,TPG,Europe
0,General Catalyst,North America
2,SoftBank Vision Fund,Asia
0,Berkshire Partners,North America
0,Sixth Street,North America
0,QED Investors,North America
0,Morgan Health,North America
2,SoftBank Vision Fund,Asia
2,JD.com,Asia
0,Coty,North America
1,SoftBank Vision Fund,Europe
2,Aspex Management,Asia
2,Alibaba Group,Asia
0,T. Rowe Price,North America
0,Coatue,North America
0,Multiple Investors,North America
0,Tiger Global Management,North America
0,DSC Investment,North America
2,Tybourne Capital Management,Asia
2,Morgan Stanley Tactical Value,Asia
2,Multiple Investors,Asia
0,Multiple Investors,North America
2,Mizuho Bank,Asia
1,Multiple Investors,Europe
2,Tencent,Asia
2,Hillhouse Capital Group,Asia
2,CPE,Asia
2,CPE,Asia
0,Kaszek,South America
2,Credit Suisse,Asia
0,Google Ventures,North America
2,Suning.com,Asia
2,Altana,Asia
2,GGV Capital,Asia
0,Shinsei Bank,Oceania
0,Multiple Investors,North America
0,Lead Edge Capital,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
2,Westbridge Capital,Asia
2,Jinhua Zhongche Fund,Asia
2,Chongqing Industry Investment Fund,Asia
1,Molten Ventures,Europe
1,Ontario Teachers' Pension Plan,Europe
0,Group1001,North America
2,Chrys Capital,Asia
0,Legacy Knight,North America
0,Multiple Investors,North America
2,Vanke,Asia
2,HOPU Investment Management Company,Asia
2,Amansa Capital,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,China Investment Corporation,Asia
0,Multiple Investors,Oceania
2,Multiple Investors,Asia
0,MUFG Bank,North America
2,Kohlberg Kravis Roberts,Asia
1,Multiple Investors,Europe
0,SOFTBANK Latin America Ventures,North America
0,Multiple Investors,North America
0,Baillie Gifford,South America
0,CapSur Capital,South America
0,T. Rowe Price,North America
2,ECARX,Asia
0,SoftBank Vision Fund,North America
0,ICONIQ Growth,North America
0,Marshall Wace,North America
1,Heartland,Europe
2,ZhenFund,Asia
0,PSG Equity,North America
2,Overseas Chinese Town Holdings,Asia
1,Multiple Investors,Europe
0,Dragoneer Investment Group,North America
0,Prime Movers Lab,North America
0,SoftBank Vision Fund,North America
0,Multiple Investors,South America
2,Guizhou Innovation Empowerment Big Data Investment Fund,Asia
0,Multiple Investors,North America
0,NTT DoCoMo,North America
2,DST Global,Asia
2,Shilpa Shetty,Asia
1,EQT,Europe
0,Redmile Group,North America
2,ByteDance,Asia
1,Dragoneer Investment Group,Europe
1,EQT,Europe
0,SoftBank,North America
0,Multiple Investors,North America
2,Anchor Equity Partners,Asia
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,New Enterprise Associates,North America
0,Fidelity Management and Research Company,North America
0,Sixth Street,North America
0,Left Lane Capital,North America
0,Brookfield Growth,North America
0,Founders Fund,North America
1,Databricks Ventures,Europe
2,Multiple Investors,Asia
0,General Catalyst,North America
0,Siris Capital Group,North America
0,Multiple Investors,North America
2,Sino Biopharmaceutical,Asia
1,Multiple Investors,Europe
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Bank of China Group Investment,Asia
2,Multiple Investors,Asia
0,Multiple Investors,North America
2,Alpha Wave Global,Asia
0,Multiple Investors,North America
0,Coatue,North America
2,Warburg Pincus,Asia
1,Spark Capital,Europe
0,Multiple Investors,North America
2,Baidu,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Sequoia Capital China,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
1,Concord Health Partners,Europe
0,SoftBank Vision Fund,North America
2,Multiple Investors,Asia
0,Intel Capital,North America
1,Silver Lake,Europe
0,SoftBank Vision Fund,North America
0,Bain Capital Tech Opportunities,North America
2,Multiple Investors,Asia
0,Chimera Investment,Africa
0,Multiple Investors,North America
2,Abu Dhabi Investment Authority,Asia
2,Legatum,Asia
0,Multiple Investors,North America
2,Volkswagen Group,Asia
0,Founders Fund,North America
0,Altimeter Capital,North America
2,Caisse de Depot et Placement du Quebec,Asia
2,Multiple Investors,Asia
2,Tiger Global Management,Asia
2,Temasek Holdings,Asia
1,Blackstone Group,Europe
0,Tiger Global Management,North America
2,General Motors,Asia
2,Mizuho Bank,Asia
0,IVP,North America
1,Abu Dhabi Growth Fund,Europe
2,Multiple Investors,Asia
2,Insight Partners,Asia
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,Advance Venture Partners,North America
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,Silver Lake Waterman,North America
0,Multiple Investors,North America
2,Yao Capital,Asia
0,Prosus Ventures,South America
1,Multiple Investors,Europe
0,Mastercard,Africa
2,Mastercard,Asia
2,Binance Labs,Asia
1,Multiple Investors,Europe
0,Multiple Investors,North America
2,Kohlberg Kravis Roberts,Asia
0,Coatue,North America
0,TPG,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
0,FTX Ventures,North America
0,Scytale Digital,North America
1,Multiple Investors,Europe
2,PAG,Asia
0,NantHealth,North America
0,SoftBank Vision Fund,North America
0,Greenoaks,North America
2,Krafton,Asia
0,Multiple Investors,North America
0,Propel VC,South America
0,Bessemer Venture Partners,North America
0,Morgan Stanley,North America
0,Founders Fund,North America
2,Multiple Investors,Asia
0,Multiple Investors,North America
2,Bain Capital,Asia
0,Francisco Partners,North America
0,Multiple Investors,North America
0,Buckley Ventures,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
1,Permira,Europe
0,Goldman Sachs Asset Management,North America
2,Third Point Ventures,Asia
0,Coatue,North America
2,Multiple Investors,Asia
2,Alibaba Group,Asia
2,Moore Strategic Ventures,Asia
2,Multiple Investors,Asia
0,Great Hill Partners,North America
2,Google,Asia
0,Multiple Investors,North America
0,Silver Lake,North America
1,Warburg Pincus,Europe
0,Princeville Capital,South America
0,SOFTBANK Latin America Ventures,North America
1,General Atlantic,Europe
1,Saidler & Co.,Europe
0,Tiger Global Management,North America
0,Multiple Investors,South America
2,Multiple Investors,Asia
0,WestCap,North America
0,Beyond Net Zero,North America
1,SoftBank Vision Fund,Europe
1,Da Vinci Capital,Europe
1,Canada Pension Plan Investment Board,Europe
1,General Atlantic,Europe
2,Multiple Investors,Asia
0,Lightspeed Venture Partners,North America
0,Pobts,North America
2,Alibaba Group,Asia
0,TPG Rise Climate Fund,North America
2,Bond,Asia
2,Multiple Investors,Asia
2,Temasek Holdings,Asia
0,Wellington Management,South America
0,Fidelity Management and Research Company,North America
1,Multiple Investors,Europe
2,Multiple Investors,Asia
1,Liberty City Ventures,Europe
0,D1 Capital Partners,North America
0,Generation Investment Management,North America
0,SoftBank Vision Fund,Africa
2,IIFL Finance,Asia
0,SoftBank Vision Fund,North America
0,Georgian,North America
2,Multiple Investors,Asia
2,Volvo Group Venture Capital,Asia
0,Multiple Investors,North America
2,Ant Group,Asia
0,Lightspeed Venture Partners,North America
0,Temasek Holdings,North America
2,Multiple Investors,Asia
0,Accomplice,North America
0,Merck,North America
1,EQT,Europe
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,Multiple Investors,North America
0,Multiple Investors,North America
0,Kohlberg Kravis Roberts,North America
2,Multiple Investors,Asia
1,Mitsubishi Corporation,Europe
0,Bristol Myers Squibb,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,Georgian,North America
0,SoftBank Vision Fund,North America
1,Kohlberg Kravis Roberts,Europe
0,TPG Rise Climate Fund,North America
0,Multiple Investors,North America
2,Cybernaut Venture Capital,Asia
0,SoftBank Vision Fund,North America
0,Coatue,North America
0,SoftBank Vision Fund,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
2,Sequoia Capital China,Asia
0,Eurazeo,North America
2,SoftBank Vision Fund,Asia
0,Tiger Global Management,North America
2,Multiple Investors,Asia
0,Knox Lane,North America
0,Index Ventures,North America
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,MercadoLibre,North America
1,General Atlantic,Europe
1,Lightspeed Venture Partners,Europe
0,NewView Capital,North America
2,eBay,Asia
0,B Capital,North America
2,K1 Investment Management,Asia
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,Multiple Investors,North America
0,Founders Fund,North America
1,Greenoaks,Europe
0,Multiple Investors,Oceania
0,Paradigm,North America
0,The Carlyle Group,North America
2,Vestin Wolf Capital Management,Asia
0,B Capital,North America
2,Multiple Investors,Asia
0,SoftBank Vision Fund,North America
0,Multiple Investors,North America
2,Vitruvian Partners,Asia
2,Multiple Investors,Asia
0,Greenspring Associates,North America
0,Multiple Investors,North America
0,Goldman Sachs Asset Management,North America
0,Multiple Investors,North America
1,Michael Margolies,Europe
2,Meta,Asia
0,Multiple Investors,North America
1,Coatue,Europe
0,SoftBank Vision Fund,North America
0,Multiple Investors,North America
0,Y Combinator Continuity Fund,North America
0,Hellman & Friedman,North America
2,DST Global,Asia
1,AMF,Europe
2,Peak XV Partners,Asia
0,NEOM Investment Fund,North America
0,Insight Partners,North America
1,Multiple Investors,Europe
2,Toyota Motor,Asia
0,Bregal Sagemount,North America
2,Sequoia Capital,Asia
0,Great Hill Partners,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
2,China Reform Health Management and Services Group Co Ltd,Asia
0,Maersk Growth,North America
0,Harbin Gloria Pharmaceuticals,North America
0,Multiple Investors,North America
0,BlackRock,North America
0,Maria Sharapova,North America
2,Abu Dhabi Investment Authority,Asia
2,Hezhi Investment,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Multiple Investors,Asia
2,Didi,Asia
2,YF Capital,Asia
1,General Atlantic,Europe
1,Multiple Investors,Europe
0,Tiger Global Management,North America
1,GIC,Europe
0,Insight Partners,North America
2,The Carlyle Group,Asia
2,Multiple Investors,Asia
0,4equity - Media Ventures,South America
0,General Atlantic,North America
0,BlackRock Private Equity Partners,North America
0,Fidelity Management and Research Company,North America
0,Starr Investment Holdings LLC,North America
1,Inflexion,Europe
1,M&G Investments,Europe
2,FXCM Asia,Asia
0,Multiple Investors,North America
0,SoftBank Vision Fund,North America
0,T. Rowe Price,South America
1,L Catterton,Europe
2,Multiple Investors,Asia
2,Mando Corporation,Asia
0,Multiple Investors,North America
0,Coatue,North America
0,Summit Partners,North America
1,Goldman Sachs Asset Management,Europe
0,Silver Lake,North America
0,General Catalyst,North America
0,Tiger Global Management,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
0,Silver Lake,North America
0,Fidelity Management and Research Company,North America
1,Blackstone Group,Europe
0,Kohlberg Kravis Roberts,North America
0,Brighton Park Capital,North America
1,Spark Capital,Europe
0,SoftBank Vision Fund,North America
0,Craft Ventures,North America
0,Mubadala,North America
0,Multiple Investors,North America
0,Sequoia Capital,North America
2,500 Global,Asia
2,GIC,Asia
0,Khosla Ventures,North America
1,Multiple Investors,Europe
2,Multiple Investors,Asia
0,ShawSpring Partners,North America
1,Sofina,Europe
0,NetDragon,North America
0,Tiger Global Management,North America
2,Multiple Investors,Asia
0,SoftBank Vision Fund,North America
2,IDG Capital,Asia
0,Alpargatas,North America
0,Craft Ventures,North America
2,Shandong Weiqiao Pioneering Group,Asia
2,Yingke Capital,Asia
0,Microsoft,North America
2,Nestlé Health Science,Asia
2,China Resources Microelectronics,Asia
0,Google,North America
2,Sparkedge Capital,Asia
0,Multiple Investors,Oceania
2,SAIC Motor,Asia
0,Insight Partners,North America
0,TPG,North America
0,CrowdStrike Falcon Fund,North America
0,SoftBank Vision Fund,North America
1,Addition,Europe
0,Neuberger Berman,North America
1,General Atlantic,Europe
1,Tencent,Europe
1,Poste Italiane,Europe
0,Multiple Investors,North America
1,Warburg Pincus,Europe
2,Multiple Investors,Asia
0,Qiming Venture Partners,Africa
2,Tencent,Asia
0,Accel,North America
0,Vista Equity Partners,North America
0,Tiger Global Management,North America
0,Permira,North America
